sku,asin,totalFbaAvailablePool,totalFbaIncomingPool,salesVelocity,daysOfInventory,projectedDaysOfInventory,oosRiskFlag,totalUnits30d
CP-DQMG-RVN9,B00XU8EF0K,298,86,8.6747,38.7335,48.6474,False,295
VV-VITA-170,B086XBB126,671,180,18.5479,38.9801,48.6847,False,592
VV-VITA-284,B09TJXDWKF,42,0,1.1264,39.0627,39.0627,False,33
VV-VITA-250,B096W54FGM,841,192,22.6034,39.7285,48.2228,False,698
VV-VITA-116,B07B9NWQ61,367,144,10.0358,39.7577,54.1064,False,305
VV-VITA-358,B0CWPJTWXQ,0,0,0.0249,40.1476,40.1476,False,3
VV-VITA-259,B09C6FWGJR,23,0,0.622,40.1948,40.1948,False,15
VV-VITA-388,B0DQDRRFPF,149,0,4.886,40.7285,40.7285,False,148
VV-VITA-243,B094R1JQ6K,103,192,2.77,40.7944,110.1087,False,95
VV-VITA-228,B08VWKYVKS,711,340,18.4037,40.97,59.4445,False,562
VV-VITA-382,B0DGGVW1NH,133,0,3.3221,41.5398,41.5398,False,103
VV-ALO-06,B01MCZD91A,293,0,7.1576,41.634,41.634,False,199
VV-VITA-165,B085YDZPXM,319,288,8.4027,41.6531,75.9276,False,273
VV-VITA-111,B077QNG9M4,495,0,12.3022,42.0251,42.0251,False,372
VV-VITA-127,B07F1FKM3M,326,432,8.3983,42.0325,93.4718,False,102
VV-VITA-338,B0C94548F5,147,0,3.8001,42.104,42.104,False,123
VV-VITA-153,B07ZQHMLQY,272,0,6.8783,42.1614,42.1614,False,243
VV-VITA-249,B096W3GD2S,720,0,17.6179,42.2865,42.2865,False,511
VV-VITA-374,B0D92MFDPB,125,140,3.0185,42.4053,88.7862,False,127
VV-VITA-231,B08XZLYCZ5,138,0,3.5116,43.57,43.57,False,73
VV-VITA-354,B0CPJFC9BP,33,0,0.8212,43.8397,43.8397,False,23
VV-VITA-262,B09GD1YKWW,199,0,4.8583,43.8423,43.8423,False,164
VV-VITA-101,B075T9G9YS,507,0,12.3306,43.8746,43.8746,False,381
VV-VITA-188,B08DCY34MX,148,0,3.6407,43.9477,43.9477,False,111
VV-VITA-124,B07F14GMP2,118,0,2.9629,44.2127,44.2127,False,95
VV-VITA-366,B0D47FKGDD,149,0,3.6228,45.2687,45.2687,False,49
VV-VITA-320-V,B0FLQNTV2G,439,0,10.2239,45.2861,45.2861,False,341
VV-VITA-172,B087JK7673,42,0,1.0078,45.6452,45.6452,False,25
VV-VITA-157,B081TKH4P4,526,0,12.3301,45.6607,45.6607,False,378
VV-VITA-46,B01CYDY6TQ,65,0,1.4787,45.985,45.985,False,40
98-VX35-DC63-Neu,B0CB87LMH1,1015,0,23.0896,46.2546,46.2546,False,812
SKU-WT-WKPz,B0G1RKZQ8T,137,0,3.0448,46.3079,46.3079,False,97
VV-VITA-165,B085YDZPXM,32,144,0.6839,46.7894,257.3415,False,22
VV-VITA-318,B0BK8WLZT5,44,0,1.001,46.9507,46.9507,False,37
NX-CVPF-VCEZ,B00XU8AUC2,93,0,2.0957,47.2389,47.2389,False,66
VV-VITA-370,B0D637HBP1,221,0,4.8231,47.6874,47.6874,False,146
VV-VITA-168,B085YFBCNL,81,0,1.7126,47.8803,47.8803,False,62
VV-VITA-344,B0CCJ8R191,648,120,14.1557,47.8958,56.373,False,498
VV-VITA-202,B08JCSQGVK,387,144,8.694,48.1944,64.7576,False,290
VV-VITA-329,B0BX76VGXP,1269,765,27.3287,48.7766,76.7692,False,849
VV-VITA-88,B06Y3Q6XNX,253,30,5.524,48.8779,54.3088,False,178
VV-VITA-237,B091Z4JQBD,201,0,4.28,50.0001,50.0001,False,149
VV-VITA-395,B0F4451PSV,524,0,10.8218,50.0839,50.0839,False,322
VV-VITA-361,B0D2319J4L,23,60,0.4982,50.1767,170.6009,False,18
VV-VITA-248,B096W2GHQV,284,0,5.8,50.3451,50.3451,False,183
VV-VITA-86,B06XR9VG7N,494,0,10.4972,50.4896,50.4896,False,201
TU-QNYD-JRRX,B00SBSJ16C,114,60,2.4239,50.7456,75.4995,False,76
VV-VITA-371,B0D63B5WBM,471,1,10.1472,50.8514,50.9499,False,295
VV-VITA-249,B096W3GD2S,63,0,1.3335,50.9918,50.9918,False,45
VV-VITA-199,B08GCFFDMH,290,2,5.8379,51.5595,51.9021,False,207
VV-VITA-317,B0BK8STFVG,262,0,5.3204,51.6883,51.6883,False,163
VV-VITA-318,B0BK8WLZT5,265,0,5.3196,51.6957,51.6957,False,189
VV-VITA-378,B0DFCRYTBC,70,0,1.4288,51.7919,51.7919,False,47
VV-VITA-274,B09M6TM2BD,38,0,0.7521,51.8535,51.8535,False,26
VV-VITA-313,B0BD88S1FW,297,0,5.9144,52.4143,52.4143,False,192
VV-ALO-06,B01MCZD91A,754,252,14.6869,52.8361,69.9942,False,519
VV-VITA-190,B08DCZD13T,395,0,7.4985,54.2773,54.2773,False,257
VV-VITA-339,B0C947V4GH,1682,1,32.4404,54.3151,54.3459,False,987
VV-VITA-258,B09C6HJ2CC,172,0,4.2797,54.9105,54.9105,False,160
VV-VITA-256,B09C6GDG72,1325,0,24.8471,55.3384,55.3384,False,801
Immun-Intense-1er,B0CKTFRW2T,100,0,1.86,55.3759,55.3759,False,56
VV-VITA-326,B0BSQVND4T,80,0,1.5844,55.542,55.542,False,49
VV-VITA-206,B08JCRVJX7,250,0,4.8459,55.7174,55.7174,False,158
VV-VITA-307,B0B6WJK183,337,0,7.7694,57.5333,57.5333,False,244
VV-VITA-349,B0CHWM51XY,139,60,2.652,58.0689,80.6931,False,80
VV-VITA-215,B08NPB4GCD,88,0,1.6151,58.1998,58.1998,False,45
VV-VITA-202,B08JCSQGVK,163,0,2.8641,58.3084,58.3084,False,105
VV-VITA-329,B0BX76VGXP,202,0,3.7203,58.3292,58.3292,False,126
VV-VITA-119,B07C5Q7T4D,538,0,9.5469,58.3437,58.3437,False,273
VV-VITA-170,B086XBB126,191,0,3.3138,58.5438,58.5438,False,102
VV-VITA-216,B08NPF3LJ7,1779,0,31.3337,58.6589,58.6589,False,1000
VV-VITA-151,B07WH27VXM,1583,0,28.5302,58.6747,58.6747,False,913
VV-VITA-107,B076MBD6KQ,165,0,2.8473,59.004,59.004,False,86
VV-VITA-314,B0BK8X47M5,897,97,15.5905,59.0745,65.2962,False,528
VV-VITA-94,B075FDQ6KJ,65,0,1.1846,59.9374,59.9374,False,37
VV-VITA-359,B0D22XWFBT,51,0,0.8731,60.7063,60.7063,False,24
VV-VITA-157,B081TKH4P4,240,0,4.1079,61.589,61.589,False,117
VV-VITA-385,B0DQDSMTPW,63,0,1.0552,63.4967,63.4967,False,28
VV-VITA-198,B08GCTM58N,107,0,1.749,64.6068,64.6068,False,54
VV-VITA-104,B075T7T17G,493,0,8.1176,66.1527,66.1527,False,261
VV-VITA-372,B0D638MLB2,250,0,3.8077,66.4446,66.4446,False,104
VV-VITA-384,B0DK9L5MWL,97,0,1.5026,67.2161,67.2161,False,43
VI-ZU99-SZ0B,B00N1QKQ5Y,709,0,10.8856,67.245,67.245,False,316
VV-VITA-198-V,B0FLQM46GH,55,0,0.8283,67.6115,67.6115,False,22
VV-VITA-380,B0DFCRTV9C,309,0,4.532,69.5062,69.5062,False,125
VV-VITA-338,B0C94548F5,74,0,1.1466,69.7685,69.7685,False,31
VV-VITA-411,B0FV34CS27,418,0,6.032,70.457,70.457,False,229
VV-VITA-339,B0C947V4GH,297,1,4.3032,70.6448,70.8772,False,143
VV-VITA-257,B09C6FG128,609,69,8.9036,70.758,78.5077,False,272
VV-VITA-371,B0D63B5WBM,248,0,3.4774,71.8921,71.8921,False,116
VV-VITA-396,B0FDBDWDL2,463,40,6.6901,71.8974,77.8764,False,213
VV-VITA-360,B0D232K3RP,0,0,0.0554,72.1863,72.1863,False,2
VV-VITA-173,B087JHVV7T,111,0,1.5926,72.21,72.21,False,61
VV-VITA-143,B07NNTD7M8,960,0,14.5599,72.6653,72.6653,False,404
VV-VITA-370,B0D637HBP1,6511,242,93.1921,72.6671,75.2639,False,3074
VV-VITA-349,B0CHWM51XY,55,0,0.783,72.7941,72.7941,False,24
2R-49NC-R697,B00RCYQUII,630,67,8.8153,73.9625,81.563,False,216
A0-22PS-COWR,B0DHL6WSMT,969,0,13.1927,74.89,74.89,False,435
VV-VITA-375,B0D92M1BPN,126,0,1.704,75.704,75.704,False,53
VV-VITA-172,B087JK7673,419,0,5.8088,75.9196,75.9196,False,184
VV-VITA-351,B0CMV8JRKN,87,0,1.168,76.1981,76.1981,False,37
VV-VITA-364,B0D22ZQTSC,792,0,10.5626,76.2122,76.2122,False,308
VV-VITA-159,B082XFTS6H,86,0,1.1846,76.8185,76.8185,False,38
2R-49NC-R697,B00RCYQUII,9690,0,129.4348,76.8418,76.8418,False,4077
VV-VITA-316,B0BK8W6JM3,149,0,2.0282,76.9167,76.9167,False,51
VV-VITA-320-V,B0FLQNTV2G,160,120,2.041,78.8825,137.6769,False,93
VV-VITA-90,B072VJ9FFZ,1677,0,21.4848,79.6843,79.6843,False,655
VV-VITA-355,B0CPJG6XL8,2320,1,30.1415,80.7192,80.7524,False,806
VV-VITA-190,B08DCZD13T,64,0,0.8352,81.4184,81.4184,False,19
VV-VITA-346,B0CHSLDL5K,124,0,1.5372,81.9663,81.9663,False,42
VV-VITA-355,B0CPJG6XL8,188,0,2.588,83.0755,83.0755,False,60
VV-VITA-186,B08B8SJK6K,160,0,2.0535,83.2741,83.2741,False,26
